prompt_tokens,completion_tokens,total_tokens
4431,16,4447
3491,16,3507
5490,16,5506
4324,16,4340
1106,16,1122
4587,16,4603
6323,16,6339
1865,16,1881
4865,16,4881
1852,16,1868
2205,16,2221
2725,16,2741
3141,16,3157
3661,16,3677
1548,16,1564
1997,16,2013
2621,16,2637
5123,16,5139
5047,16,5063
1975,16,1991
2854,16,2870
5712,16,5728
3798,16,3814
2830,16,2846
3918,16,3934
5054,16,5070
3287,16,3303
9823,16,9839
2400,16,2416
2970,16,2986
3814,16,3830
3820,16,3836
3757,16,3773
3653,16,3669
2793,16,2809
2579,16,2595
2675,16,2691
2242,16,2258
4913,16,4929
3500,16,3516
3096,16,3112
3633,16,3649
5463,16,5479
6102,16,6118
4899,16,4915
4317,16,4333
10417,16,10433
3088,16,3104
2484,16,2500
7983,16,7999
1903,16,1919
3780,16,3796
4311,16,4327
4770,16,4786
2998,16,3014
4727,16,4743
1994,16,2010
2576,16,2592
2877,16,2893
5375,16,5391
3937,16,3953
3049,16,3065
3338,16,3354
3921,16,3937
6813,16,6829
7354,16,7370
3599,16,3615
4246,16,4262
7117,16,7133
2132,16,2148
3342,16,3358
3668,16,3684
4262,16,4278
11252,16,11268
2171,16,2187
2359,16,2375
4067,16,4083
10928,16,10944
3142,16,3158
3252,16,3268
3428,16,3444
4285,16,4301
6635,16,6651
4237,16,4253
2922,16,2938
5839,16,5855
2282,16,2298
2271,16,2287
2209,16,2225
4060,16,4076
5671,16,5687
4436,16,4452
4418,16,4434
4794,16,4810
3973,16,3989
3823,16,3839
2678,16,2694
2729,16,2745
4821,16,4837
3079,16,3095
